,TX HASH,COINBASE,VERSION,VIN,VOUT,SHIELDEDSPEND,SHIELDEDOUT,NS
458720,27bb1c8b68,0,4,0,0,1.0,2.0,42469600
458721,a6a6524d3c,0,4,0,0,1.0,2.0,54264500
458722,b2bb8be58e,0,4,0,0,1.0,2.0,30834700
458723,3f6dcf8666,0,4,0,0,1.0,2.0,37383700
458724,76bfcd2398,0,4,0,0,1.0,2.0,32333700
458734,43b05fc432,0,4,0,0,1.0,2.0,43551300
458735,5f9a2e897e,0,4,0,0,1.0,2.0,41964500
458741,230bed8ce6,0,4,0,0,1.0,2.0,70938700
458742,7c969db343,0,4,0,0,1.0,2.0,52776200
458750,56d158103d,0,4,0,1,1.0,1.0,37977200
458759,77e86153db,0,4,0,0,1.0,2.0,57996700
458762,8047c6b26e,0,4,0,0,1.0,2.0,49580500
458763,d14aad4632,0,4,0,0,1.0,2.0,36679300
458764,bff853f400,0,4,0,0,1.0,2.0,35156300
458775,bb17859024,0,4,0,0,1.0,1.0,66578800
458776,a4ab8f8873,0,4,0,0,1.0,2.0,83697700
458777,4c6fbc6b09,0,4,0,0,1.0,2.0,46316100
458778,ef41795957,0,4,0,0,1.0,2.0,44552100
458792,17a90a4308,0,4,0,0,3.0,1.0,85276600
458793,6e0446a765,0,4,0,0,1.0,2.0,65119500
458794,eaca7a53ad,0,4,0,0,1.0,2.0,58444000
458795,ef9b384990,0,4,0,0,1.0,2.0,71850500
458796,9e68dde224,0,4,0,0,1.0,2.0,75363200
458805,6ad3660464,0,4,0,0,1.0,2.0,51625600
459026,5d198e0858,0,4,1,0,0.0,1.0,28696100
459037,9f3d5213f1,0,4,1,0,0.0,1.0,39995100
459038,12a1d04388,0,4,0,0,1.0,2.0,81442800
459098,1f6df2fe08,0,4,0,0,1.0,2.0,39029700
459100,127428d43f,0,4,0,0,1.0,2.0,58674000
459110,9552c61376,0,4,0,0,1.0,2.0,61182200
459111,c0f8958a05,0,4,0,0,1.0,2.0,62988200
459133,a077ec1c00,0,4,0,0,1.0,2.0,50192400
459135,cc2692e094,0,4,0,0,1.0,2.0,47750500
459219,b4c5432e6b,0,4,0,0,1.0,2.0,51514100
459236,513f94b0da,0,4,0,0,1.0,2.0,54061700
459237,90ba0922c6,0,4,0,0,1.0,2.0,37637700
459241,3b41298317,0,4,0,0,1.0,2.0,36014600
459244,e65c10257d,0,4,0,0,1.0,2.0,35859800
459251,8ffb34404a,0,4,0,0,1.0,2.0,63191900
459252,cf480b360c,0,4,0,0,1.0,2.0,46116400
459253,d2ebfe43b6,0,4,0,0,1.0,2.0,35226000
459272,be30990332,0,4,0,0,1.0,2.0,69217700
459445,9dd445ee24,0,4,1,0,0.0,1.0,19202300
459456,a783a7784e,0,4,1,0,0.0,1.0,16143500
459458,87cac69eaa,0,4,1,0,0.0,1.0,20673000
459517,93966205f3,0,4,0,0,1.0,2.0,51974700
459527,965a8cc352,0,4,0,0,1.0,2.0,94298000
459531,6ff0e1568f,0,4,0,0,1.0,2.0,43483500
459551,5a72cf691c,0,4,0,0,1.0,2.0,44573700
459552,fa1577dfbe,0,4,0,0,1.0,2.0,36498100
459554,1a8ffffd78,0,4,1,0,0.0,1.0,11897500
459608,12de823e32,0,4,50,0,0.0,1.0,13963300
459616,ed9f101fa6,0,4,0,0,1.0,2.0,53504200
459619,5e311865ce,0,4,50,0,0.0,1.0,21204000
459637,36615ec0ec,0,4,0,0,1.0,2.0,101566300
